,actual
19474,1590.0
12128,1888.0
14304,1003.0
114658,1169.0
2719,1647.0
28091,1862.0
69950,3728.0
142565,3212.0
25106,2426.0
39199,2563.0
45441,1117.0
630,1782.0
32747,1173.0
142678,1244.0
90015,605.0
128468,1894.0
79073,2646.0
104338,4115.0
64025,1720.0
34953,1231.0
120846,3125.0
44173,1129.0
117706,1612.0
143719,1151.0
110984,2239.0
63932,2214.0
5216,3809.0
144993,1003.0
128426,1748.0
24746,2283.0
69553,2282.0
31457,1345.0
79974,2188.0
112990,1782.0
98256,3348.0
134098,1991.0
17783,1177.0
123908,1282.0
151197,758.0
20198,2522.0
106900,1918.0
31266,2422.0
28377,1954.0
95178,738.0
71927,1884.0
93729,1645.0
81362,585.0
21538,1492.0
16807,1863.0
138508,4670.0
45627,1433.0
77409,1831.0
1331,1807.0
129435,2305.0
155497,2585.0
91830,2775.0
83722,2796.0
57237,3753.0
106022,1238.0
34836,1245.0
39730,665.0
125475,1880.0
113486,595.0
130187,2672.0
50274,1443.0
15040,2202.0
75865,1371.0
10934,2764.0
75724,1187.0
38805,2799.0
85834,2345.0
41500,837.0
24324,1370.0
3020,2094.0
134478,2674.0
104509,2196.0
40294,2626.0
114076,1419.0
11146,1136.0
132515,1679.0
73365,2085.0
46666,1460.0
100966,1802.0
117567,990.0
61927,1273.0
95829,1034.0
145821,3031.0
50415,2371.0
150169,1949.0
128910,1878.0
65340,1219.0
30250,1214.0
152165,1686.0
119002,3613.0
3379,3097.0
58543,1412.0
69039,1264.0
88880,2116.0
118729,3049.0
61868,2644.0
12253,1402.0
12788,3480.0
62233,2317.0
15531,2221.0
45407,3142.0
45351,2663.0
83064,1586.0
80114,1121.0
114853,2027.0
48843,1880.0
118049,4106.0
36387,3146.0
13392,715.0
80169,842.0
23077,1252.0
64473,1517.0
34014,995.0
12894,780.0
137461,981.0
13611,2088.0
153840,1266.0
154524,1254.0
108133,976.0
50920,1796.0
86049,1158.0
32,680.0
70943,2322.0
67957,518.0
102536,1776.0
38244,633.0
52940,555.0
134260,1372.0
122483,3268.0
139537,3248.0
149062,1750.0
78179,959.0
107198,1043.0
23266,2869.0
68550,3018.0
100110,2007.0
97976,1256.0
19568,795.0
86419,5070.0
45366,3267.0
149033,1769.0
51454,2184.0
8887,1574.0
49530,1719.0
70615,1268.0
127468,1731.0
59447,3337.0
32853,2194.0
152576,4042.0
61784,2528.0
8386,913.0
153212,2160.0
8523,4546.0
127430,1957.0
105447,2864.0
46418,1449.0
120024,2216.0
57558,1988.0
6206,1766.0
109067,1387.0
70985,1129.0
111225,1195.0
142577,1868.0
89068,1293.0
150579,3232.0
21368,3138.0
77200,2642.0
86687,388.0
89489,945.0
127424,1681.0
130586,817.0
133793,3280.0
10707,802.0
17337,1410.0
86767,5306.0
40306,3966.0
89415,2320.0
99211,2285.0
147130,2258.0
64762,880.0
140796,2008.0
131682,2409.0
85675,3726.0
1112,2500.0
4123,2332.0
108561,1053.0
875,1434.0
103175,1480.0
129465,1143.0
113297,927.0
36779,1782.0
150388,1306.0
87737,895.0
109613,3147.0
70028,552.0
90969,2051.0
30189,2220.0
132946,2224.0
115226,1808.0
48481,822.0
23830,568.0
64261,1732.0
39205,1253.0
83088,1359.0
25350,1209.0
116084,1396.0
32605,1793.0
6310,1847.0
56719,3216.0
96254,513.0
120123,1860.0
133721,2016.0
24239,1406.0
109469,2006.0
52424,1857.0
81955,2096.0
108494,1893.0
108620,1902.0
146891,1094.0
78856,2538.0
57902,1977.0
153917,1256.0
21597,7378.0
35596,2193.0
130291,1992.0
69819,1095.0
135206,1803.0
25214,3006.0
151769,2796.0
26878,1165.0
87098,3040.0
15502,1269.0
14033,501.0
124551,1059.0
17652,1449.0
125164,1684.0
130679,5049.0
130378,1912.0
133959,1735.0
105973,966.0
4136,1554.0
142769,2878.0
103541,622.0
86357,2967.0
50893,10620.0
98266,2212.0
95814,1051.0
84991,1213.0
58919,1279.0
26638,1987.0
137973,987.0
79683,973.0
20451,2055.0
27866,1576.0
31173,3413.0
116785,1949.0
79709,3286.0
30704,774.0
36474,1704.0
27805,1548.0
90148,1607.0
1263,445.0
6620,3611.0
63553,1071.0
80816,597.0
63258,1827.0
82858,1783.0
73906,984.0
74476,1672.0
118044,596.0
104100,1165.0
111002,1219.0
56458,334.0
92648,1096.0
140077,457.0
52353,2519.0
88726,2105.0
116770,1077.0
133597,2959.0
80901,2805.0
100446,2469.0
15577,956.0
133353,1459.0
24268,1339.0
93697,1980.0
63300,863.0
68662,1728.0
4093,1238.0
7024,2847.0
49328,1440.0
23393,1091.0
5779,2203.0
135118,3150.0
126656,1375.0
23386,2274.0
30202,818.0
15390,2072.0
142791,1441.0
7446,2599.0
137883,3332.0
43770,1980.0
113930,2855.0
81054,1323.0
89505,2231.0
8568,1775.0
78862,3406.0
34946,2020.0
107425,775.0
145337,2456.0
85428,3308.0
120865,4999.0
62649,2577.0
70613,2595.0
52944,1048.0
74773,644.0
106151,2298.0
93961,1690.0
138011,1405.0
16206,1656.0
33432,1865.0
755,1026.0
21319,2629.0
73161,1270.0
96306,597.0
117966,1042.0
95029,842.0
143186,1087.0
117423,4884.0
57731,2125.0
128461,2928.0
47709,933.0
67972,2053.0
107137,2754.0
4652,1558.0
61670,420.0
64630,1684.0
75184,573.0
111247,1866.0
126266,690.0
155468,2800.0
129888,1562.0
32560,2277.0
135620,2112.0
99028,931.0
146868,1415.0
53462,1367.0
128845,940.0
132416,1063.0
38688,1451.0
59223,1937.0
109071,2197.0
148718,1551.0
81996,2286.0
15603,1431.0
96541,726.0
134965,2034.0
107996,2839.0
90026,1602.0
37815,2530.0
140032,1077.0
25179,2400.0
6055,1056.0
133257,2783.0
48249,2891.0
45309,1368.0
80695,2344.0
136388,3449.0
93870,1931.0
108446,986.0
105452,2223.0
17230,1036.0
154534,384.0
90243,2000.0
124440,321.0
152837,1980.0
35465,1694.0
148101,1876.0
54192,4408.0
9013,1325.0
102483,6090.0
108336,1270.0
114747,797.0
15302,354.0
13785,3489.0
49087,3427.0
83223,2375.0
69305,509.0
16372,609.0
86655,734.0
125842,1610.0
36825,1901.0
107590,205.0
109903,3557.0
132655,804.0
103247,3016.0
147844,1082.0
114795,1594.0
33588,2091.0
124109,3202.0
131498,2640.0
128400,504.0
64256,1155.0
88382,4269.0
65031,2337.0
70249,1038.0
92635,2214.0
10081,450.0
124391,1087.0
69776,3313.0
4372,1319.0
107376,263.0
61525,1769.0
105077,1569.0
144931,1379.0
3202,1140.0
148643,1297.0
15578,1848.0
12768,1170.0
74610,3349.0
146552,1199.0
13309,1930.0
59337,1806.0
106801,4044.0
81770,1753.0
15322,1391.0
74709,1846.0
60799,1601.0
108462,2660.0
28532,1576.0
66388,1487.0
63257,2044.0
93180,1620.0
51811,3398.0
91070,1621.0
82828,734.0
48890,2260.0
19124,4607.0
155128,1140.0
142667,1689.0
78128,1363.0
72300,1186.0
104043,893.0
7611,2371.0
45578,1874.0
38200,796.0
35466,2362.0
1116,1037.0
140821,2734.0
120838,1665.0
122902,4270.0
30663,1540.0
124749,1356.0
6193,2269.0
65339,1087.0
156382,2168.0
108885,1357.0
65450,1566.0
147438,2325.0
148545,1777.0
64495,1340.0
43716,2483.0
86994,1749.0
59488,2043.0
151630,998.0
148406,1394.0
129139,2158.0
25362,1842.0
66206,1151.0
139654,1704.0
60671,2138.0
72136,2829.0
42507,1596.0
90563,2046.0
20610,1093.0
2147,3623.0
14218,1016.0
16282,927.0
103116,1301.0
151988,3043.0
5001,2130.0
10685,6000.0
56313,1473.0
17657,4510.0
27506,801.0
56014,1416.0
56917,1523.0
52878,2356.0
32637,1554.0
121616,1421.0
149154,2406.0
99737,1679.0
6631,3688.0
98681,916.0
56043,3180.0
68311,1588.0
71412,2904.0
1743,514.0
59581,1218.0
78762,984.0
44329,1354.0
92352,1513.0
13899,1842.0
44808,2514.0
47994,1933.0
135446,1129.0
155194,1644.0
105627,3082.0
131920,1914.0
99319,1058.0
121947,1793.0
8782,966.0
136610,3797.0
42704,1269.0
99345,885.0
83630,2807.0
51263,1765.0
90407,3637.0
39687,2597.0
18073,4082.0
148930,1426.0
2002,2001.0
36565,1806.0
84690,2526.0
127304,658.0
121971,1742.0
141725,1189.0
69603,2871.0
141022,3148.0
12601,1454.0
57131,3707.0
87952,2741.0
33908,1673.0
104351,2703.0
69258,1658.0
88757,1600.0
44504,1023.0
70458,2431.0
50682,929.0
79740,2731.0
138039,1321.0
143956,648.0
88743,2041.0
149587,1264.0
2213,1694.0
145156,2097.0
111557,797.0
99465,2369.0
122038,1891.0
23615,1357.0
124800,642.0
154063,1059.0
54344,1014.0
90444,495.0
70265,1565.0
72641,1105.0
143148,1827.0
89018,1803.0
3901,2658.0
98181,1607.0
76903,1556.0
96127,606.0
135881,2029.0
974,2179.0
27160,908.0
52794,1267.0
151309,3260.0
43145,2236.0
54668,1826.0
124228,1374.0
8284,2030.0
82612,4693.0
32977,1600.0
134370,1308.0
115613,2080.0
30253,1964.0
42597,1683.0
65378,2190.0
4158,1328.0
48186,2286.0
44535,2707.0
61321,1292.0
121805,2662.0
65050,675.0
85967,1604.0
154909,1671.0
153880,2634.0
53641,3327.0
23268,608.0
76808,3747.0
99628,2405.0
76065,999.0
84873,954.0
96122,1779.0
112929,1452.0
17320,1287.0
155658,4384.0
3062,1691.0
30051,1705.0
132619,386.0
63666,1347.0
102827,1577.0
67684,2335.0
61504,890.0
123870,3401.0
108905,1969.0
3019,2210.0
85504,2106.0
143911,1073.0
135732,983.0
93660,1240.0
12970,1751.0
13940,1679.0
117023,2419.0
30248,643.0
122775,751.0
24911,932.0
84008,2452.0
78361,5228.0
61203,1208.0
69455,1880.0
101648,1469.0
131741,2074.0
32972,2145.0
121956,3631.0
90657,2156.0
25986,1145.0
121150,1941.0
40814,1001.0
147190,1324.0
14062,2014.0
21062,2889.0
69151,1445.0
129198,1891.0
95985,2615.0
48189,605.0
83126,1723.0
33923,1882.0
146657,1725.0
119101,2154.0
96248,1418.0
9987,1841.0
12014,846.0
86971,1674.0
122924,1421.0
151206,1610.0
106766,1236.0
22858,2170.0
90880,1938.0
102204,2257.0
28189,891.0
17443,2820.0
107835,1714.0
98865,817.0
5630,1253.0
110320,871.0
81130,1772.0
111394,1601.0
114525,731.0
81184,2770.0
79846,1737.0
135421,3091.0
108591,784.0
88674,743.0
144018,1690.0
61091,2451.0
27089,2395.0
86336,1539.0
55082,1662.0
156961,1114.0
47272,820.0
32968,3140.0
596,1390.0
78955,2344.0
76763,2449.0
130130,5889.0
125702,1867.0
97601,3331.0
9434,2762.0
17200,1922.0
152954,1135.0
50578,2246.0
129628,1786.0
5939,1278.0
156188,1559.0
53191,1949.0
133271,2799.0
3918,1932.0
73272,2752.0
24071,1625.0
38000,601.0
58675,2724.0
53792,1052.0
84314,1038.0
54487,2410.0
16799,3587.0
87534,1941.0
47085,910.0
4912,2142.0
34861,1135.0
53510,2432.0
43277,2710.0
18435,2169.0
40471,1740.0
90694,1401.0
44298,797.0
106898,1627.0
131269,2011.0
123971,2055.0
18826,1918.0
98635,1713.0
85307,1863.0
9435,1924.0
136117,513.0
13884,4490.0
10310,3211.0
42832,3678.0
68937,1291.0
146495,1544.0
105510,1101.0
7591,1930.0
151099,3420.0
119489,1029.0
43862,880.0
94977,1327.0
9401,831.0
125761,1194.0
138592,825.0
54982,2401.0
14728,1953.0
145032,1766.0
16865,1284.0
55131,4469.0
148332,556.0
118804,1172.0
44116,4036.0
3600,860.0
10390,847.0
15269,2282.0
151665,2325.0
101735,1660.0
15538,3558.0
122310,2042.0
100255,1238.0
80912,792.0
58853,1003.0
130727,2364.0
15712,1189.0
75733,1482.0
45710,959.0
46674,2482.0
52454,1034.0
14606,1585.0
30720,1653.0
51313,1187.0
75165,2154.0
155542,1219.0
115230,1934.0
65419,782.0
43803,995.0
148330,1658.0
118889,857.0
36149,2040.0
4803,3630.0
118854,2001.0
97522,1573.0
35255,1359.0
149845,5013.0
81418,1507.0
152362,2177.0
94750,2452.0
1712,816.0
83237,1794.0
65931,1282.0
132316,1841.0
133905,2821.0
150393,2767.0
66461,1068.0
51242,1435.0
98262,2505.0
27033,2729.0
56778,2322.0
95813,1855.0
151370,1473.0
2389,1865.0
50624,1539.0
119519,1637.0
17365,3433.0
46865,4679.0
96896,1397.0
152423,1167.0
43954,824.0
49171,1501.0
51712,3874.0
113133,1991.0
103112,1999.0
22902,1732.0
138148,2680.0
21236,708.0
81445,5871.0
110659,4196.0
70158,944.0
104206,885.0
43619,3168.0
132069,996.0
64765,1077.0
21359,3054.0
4032,2107.0
121757,1467.0
60306,2429.0
117803,615.0
46143,3233.0
120252,1728.0
63703,1292.0
17703,3865.0
54453,1390.0
53260,1644.0
43498,2492.0
3149,1714.0
29840,2262.0
48228,1854.0
19925,3200.0
7557,3226.0
136116,992.0
87083,1954.0
74033,1284.0
43881,1783.0
34089,796.0
156530,1438.0
152551,2039.0
68176,1876.0
154552,1470.0
144213,1096.0
63336,157.0
139168,1370.0
78027,1536.0
1109,5446.0
137926,1949.0
131265,2289.0
76369,2151.0
124305,1322.0
72190,1478.0
123686,1457.0
54734,2025.0
21248,9959.0
88402,1638.0
24423,1454.0
43161,3135.0
128374,3613.0
140009,3329.0
146075,2699.0
133194,3219.0
108743,2944.0
111519,1550.0
118116,1040.0
73652,541.0
51201,530.0
7151,983.0
3734,1040.0
151269,1184.0
140213,3714.0
79960,2797.0
109352,1463.0
39029,2791.0
125085,1691.0
107065,1018.0
71981,752.0
82434,1750.0
116374,1220.0
8190,1803.0
98335,4434.0
133476,2672.0
78427,3986.0
96840,978.0
82238,1507.0
32200,1505.0
103996,1143.0
51579,1807.0
75644,1497.0
119031,2442.0
101838,4535.0
68815,1798.0
15425,885.0
142163,1216.0
50966,4506.0
136609,2247.0
42463,1214.0
51702,2117.0
152146,2348.0
64315,1026.0
11473,3049.0
50015,1933.0
102252,1625.0
40649,1555.0
27442,1974.0
118589,313.0
54719,2839.0
24080,2795.0
105645,1429.0
104221,1661.0
49577,862.0
127266,4619.0
96231,1634.0
134320,2008.0
69005,3590.0
145350,1294.0
88887,2604.0
34987,1544.0
22634,1362.0
62456,3364.0
151563,965.0
100694,1345.0
67116,1259.0
155544,1199.0
43187,1383.0
69522,2752.0
4224,4159.0
25576,952.0
20979,1559.0
72969,1348.0
112957,1380.0
132541,1949.0
116166,2188.0
76294,648.0
89844,3685.0
128569,1616.0
97125,2925.0
126314,1684.0
112348,1067.0
25330,1575.0
14320,3566.0
124876,1155.0
81555,1085.0
41697,2183.0
28819,1616.0
106533,1693.0
110088,978.0
29809,2517.0
3133,1344.0
96872,1660.0
109495,354.0
49000,2336.0
15401,1886.0
51425,748.0
31990,3153.0
145986,985.0
155453,1695.0
149200,1641.0
61147,2278.0
152295,2609.0
47810,1696.0
71352,1837.0
84861,1380.0
43115,2867.0
62750,1499.0
26704,2532.0
144132,1015.0
102170,3833.0
83650,1736.0
150771,3311.0
64672,972.0
59899,1638.0
43477,1136.0
115206,6549.0
134858,2129.0
127508,2968.0
87084,2254.0
111552,1787.0
8453,3119.0
29522,2435.0
53349,1705.0
48017,3082.0
102158,2966.0
28640,896.0
60726,2025.0
1576,1107.0
49497,1992.0
56562,1055.0
155418,1970.0
89945,3597.0
141155,1428.0
20658,2932.0
73144,1305.0
143968,1444.0
56879,1664.0
99233,1231.0
68103,1134.0
63351,1407.0
108183,1329.0
70,2174.0
2167,2783.0
68656,1569.0
80881,1386.0
94990,1302.0
127640,1677.0
89110,1711.0
27348,1457.0
45853,2368.0
141645,2909.0
113402,1636.0
132031,1207.0
77315,1171.0
112904,755.0
64530,1073.0
145373,852.0
73591,847.0
11824,2522.0
3420,2367.0
31356,1482.0
64665,689.0
106397,1405.0
14217,2383.0
94377,2320.0
49347,2092.0
101929,2379.0
62576,1272.0
28969,1717.0
72603,1314.0
70883,1420.0
107696,1730.0
42857,5548.0
132664,2106.0
40212,2052.0
75162,2698.0
20826,1140.0
136576,4248.0
102072,1675.0
140311,2442.0
14788,1409.0
21582,3101.0
30045,2401.0
20682,2252.0
57498,1675.0
152555,2055.0
50333,2734.0
150409,1939.0
112910,1906.0
96238,1176.0
27110,2908.0
142249,2816.0
41006,5171.0
