,actual,best_model,best_rmse
125849,944.0,Ridge,4.453794542999621e-08
72465,1729.0,Ridge,4.453794542999621e-08
4905,2658.0,Ridge,4.453794542999621e-08
81145,2146.0,Ridge,4.453794542999621e-08
78384,1049.0,Ridge,4.453794542999621e-08
88216,1462.0,Ridge,4.453794542999621e-08
49518,1651.0,Ridge,4.453794542999621e-08
21011,2051.0,Ridge,4.453794542999621e-08
108009,1467.0,Ridge,4.453794542999621e-08
118120,2865.0,Ridge,4.453794542999621e-08
47180,1653.0,Ridge,4.453794542999621e-08
40534,2532.0,Ridge,4.453794542999621e-08
104047,1466.0,Ridge,4.453794542999621e-08
82331,2201.0,Ridge,4.453794542999621e-08
91492,1992.0,Ridge,4.453794542999621e-08
8971,1255.0,Ridge,4.453794542999621e-08
82349,1255.0,Ridge,4.453794542999621e-08
129140,1768.0,Ridge,4.453794542999621e-08
75844,1111.0,Ridge,4.453794542999621e-08
5843,2187.0,Ridge,4.453794542999621e-08
98908,536.0,Ridge,4.453794542999621e-08
132283,2070.0,Ridge,4.453794542999621e-08
115902,1043.0,Ridge,4.453794542999621e-08
150841,1663.0,Ridge,4.453794542999621e-08
101664,2542.0,Ridge,4.453794542999621e-08
70947,1006.0,Ridge,4.453794542999621e-08
26201,856.0,Ridge,4.453794542999621e-08
5567,2625.0,Ridge,4.453794542999621e-08
142447,2654.0,Ridge,4.453794542999621e-08
87682,2649.0,Ridge,4.453794542999621e-08
140313,827.0,Ridge,4.453794542999621e-08
149210,4090.0,Ridge,4.453794542999621e-08
107594,897.0,Ridge,4.453794542999621e-08
52997,1294.0,Ridge,4.453794542999621e-08
100530,2210.0,Ridge,4.453794542999621e-08
148094,2053.0,Ridge,4.453794542999621e-08
124467,1603.0,Ridge,4.453794542999621e-08
63858,1401.0,Ridge,4.453794542999621e-08
110301,1233.0,Ridge,4.453794542999621e-08
35274,2214.0,Ridge,4.453794542999621e-08
86591,1323.0,Ridge,4.453794542999621e-08
89421,851.0,Ridge,4.453794542999621e-08
60444,1303.0,Ridge,4.453794542999621e-08
86851,2029.0,Ridge,4.453794542999621e-08
100159,723.0,Ridge,4.453794542999621e-08
92512,3297.0,Ridge,4.453794542999621e-08
101178,1197.0,Ridge,4.453794542999621e-08
13799,1956.0,Ridge,4.453794542999621e-08
14916,713.0,Ridge,4.453794542999621e-08
75385,1973.0,Ridge,4.453794542999621e-08
73709,1636.0,Ridge,4.453794542999621e-08
86686,598.0,Ridge,4.453794542999621e-08
54953,2871.0,Ridge,4.453794542999621e-08
33145,1335.0,Ridge,4.453794542999621e-08
39052,1261.0,Ridge,4.453794542999621e-08
120982,1681.0,Ridge,4.453794542999621e-08
148597,1453.0,Ridge,4.453794542999621e-08
54411,2500.0,Ridge,4.453794542999621e-08
1312,1828.0,Ridge,4.453794542999621e-08
40152,3741.0,Ridge,4.453794542999621e-08
154221,951.0,Ridge,4.453794542999621e-08
83193,1153.0,Ridge,4.453794542999621e-08
2671,2851.0,Ridge,4.453794542999621e-08
37471,691.0,Ridge,4.453794542999621e-08
90169,1142.0,Ridge,4.453794542999621e-08
1759,1588.0,Ridge,4.453794542999621e-08
2146,1876.0,Ridge,4.453794542999621e-08
118627,1605.0,Ridge,4.453794542999621e-08
71414,3658.0,Ridge,4.453794542999621e-08
135602,1063.0,Ridge,4.453794542999621e-08
11270,1107.0,Ridge,4.453794542999621e-08
30923,2185.0,Ridge,4.453794542999621e-08
33130,1869.0,Ridge,4.453794542999621e-08
138048,1621.0,Ridge,4.453794542999621e-08
112671,2122.0,Ridge,4.453794542999621e-08
57940,1239.0,Ridge,4.453794542999621e-08
64894,1177.0,Ridge,4.453794542999621e-08
122082,1465.0,Ridge,4.453794542999621e-08
117814,2539.0,Ridge,4.453794542999621e-08
110366,1299.0,Ridge,4.453794542999621e-08
150844,2065.0,Ridge,4.453794542999621e-08
110143,2738.0,Ridge,4.453794542999621e-08
22846,5529.0,Ridge,4.453794542999621e-08
118526,2320.0,Ridge,4.453794542999621e-08
49291,1114.0,Ridge,4.453794542999621e-08
129439,973.0,Ridge,4.453794542999621e-08
72450,1821.0,Ridge,4.453794542999621e-08
4365,890.0,Ridge,4.453794542999621e-08
151044,1138.0,Ridge,4.453794542999621e-08
141519,2545.0,Ridge,4.453794542999621e-08
29392,2439.0,Ridge,4.453794542999621e-08
95275,1381.0,Ridge,4.453794542999621e-08
38871,2395.0,Ridge,4.453794542999621e-08
73575,801.0,Ridge,4.453794542999621e-08
51202,803.0,Ridge,4.453794542999621e-08
153337,1759.0,Ridge,4.453794542999621e-08
106462,1538.0,Ridge,4.453794542999621e-08
63979,2596.0,Ridge,4.453794542999621e-08
35876,3810.0,Ridge,4.453794542999621e-08
119170,1055.0,Ridge,4.453794542999621e-08
29255,1791.0,Ridge,4.453794542999621e-08
102465,1707.0,Ridge,4.453794542999621e-08
37816,1226.0,Ridge,4.453794542999621e-08
133716,1835.0,Ridge,4.453794542999621e-08
3453,2093.0,Ridge,4.453794542999621e-08
70404,1313.0,Ridge,4.453794542999621e-08
62494,4488.0,Ridge,4.453794542999621e-08
106421,1529.0,Ridge,4.453794542999621e-08
153830,1254.0,Ridge,4.453794542999621e-08
107866,2151.0,Ridge,4.453794542999621e-08
112000,7247.0,Ridge,4.453794542999621e-08
56755,1306.0,Ridge,4.453794542999621e-08
97214,1533.0,Ridge,4.453794542999621e-08
98669,3330.0,Ridge,4.453794542999621e-08
91022,1418.0,Ridge,4.453794542999621e-08
145794,1599.0,Ridge,4.453794542999621e-08
71316,2266.0,Ridge,4.453794542999621e-08
58567,2302.0,Ridge,4.453794542999621e-08
30345,930.0,Ridge,4.453794542999621e-08
128373,4973.0,Ridge,4.453794542999621e-08
57006,1488.0,Ridge,4.453794542999621e-08
13416,1536.0,Ridge,4.453794542999621e-08
23327,526.0,Ridge,4.453794542999621e-08
76806,1285.0,Ridge,4.453794542999621e-08
103856,2003.0,Ridge,4.453794542999621e-08
86771,1569.0,Ridge,4.453794542999621e-08
63695,3623.0,Ridge,4.453794542999621e-08
157028,2271.0,Ridge,4.453794542999621e-08
9571,1251.0,Ridge,4.453794542999621e-08
102752,1505.0,Ridge,4.453794542999621e-08
135709,1112.0,Ridge,4.453794542999621e-08
119318,2348.0,Ridge,4.453794542999621e-08
2896,6505.0,Ridge,4.453794542999621e-08
37908,3044.0,Ridge,4.453794542999621e-08
139436,2766.0,Ridge,4.453794542999621e-08
25011,1037.0,Ridge,4.453794542999621e-08
139896,579.0,Ridge,4.453794542999621e-08
34231,947.0,Ridge,4.453794542999621e-08
126734,1950.0,Ridge,4.453794542999621e-08
8214,1382.0,Ridge,4.453794542999621e-08
80972,1296.0,Ridge,4.453794542999621e-08
29245,944.0,Ridge,4.453794542999621e-08
14663,1635.0,Ridge,4.453794542999621e-08
148813,2204.0,Ridge,4.453794542999621e-08
12716,2300.0,Ridge,4.453794542999621e-08
143788,2245.0,Ridge,4.453794542999621e-08
89709,2856.0,Ridge,4.453794542999621e-08
116660,1875.0,Ridge,4.453794542999621e-08
120071,1214.0,Ridge,4.453794542999621e-08
81563,3604.0,Ridge,4.453794542999621e-08
128902,1010.0,Ridge,4.453794542999621e-08
120998,1661.0,Ridge,4.453794542999621e-08
14279,1078.0,Ridge,4.453794542999621e-08
9965,3004.0,Ridge,4.453794542999621e-08
88492,3020.0,Ridge,4.453794542999621e-08
4129,1133.0,Ridge,4.453794542999621e-08
69430,1644.0,Ridge,4.453794542999621e-08
43427,1247.0,Ridge,4.453794542999621e-08
59536,394.0,Ridge,4.453794542999621e-08
70974,1382.0,Ridge,4.453794542999621e-08
33965,3440.0,Ridge,4.453794542999621e-08
72456,1956.0,Ridge,4.453794542999621e-08
155867,1099.0,Ridge,4.453794542999621e-08
130064,2441.0,Ridge,4.453794542999621e-08
90838,1150.0,Ridge,4.453794542999621e-08
7253,1099.0,Ridge,4.453794542999621e-08
137712,1881.0,Ridge,4.453794542999621e-08
141831,1858.0,Ridge,4.453794542999621e-08
130276,1226.0,Ridge,4.453794542999621e-08
70367,3565.0,Ridge,4.453794542999621e-08
148772,1933.0,Ridge,4.453794542999621e-08
96654,1695.0,Ridge,4.453794542999621e-08
135087,1136.0,Ridge,4.453794542999621e-08
101809,1400.0,Ridge,4.453794542999621e-08
151619,695.0,Ridge,4.453794542999621e-08
16113,2390.0,Ridge,4.453794542999621e-08
130755,2496.0,Ridge,4.453794542999621e-08
27334,1876.0,Ridge,4.453794542999621e-08
43670,2685.0,Ridge,4.453794542999621e-08
18044,1217.0,Ridge,4.453794542999621e-08
5490,912.0,Ridge,4.453794542999621e-08
114084,2158.0,Ridge,4.453794542999621e-08
20059,934.0,Ridge,4.453794542999621e-08
118673,1625.0,Ridge,4.453794542999621e-08
102721,2814.0,Ridge,4.453794542999621e-08
146527,2082.0,Ridge,4.453794542999621e-08
23025,911.0,Ridge,4.453794542999621e-08
16896,2235.0,Ridge,4.453794542999621e-08
93286,1682.0,Ridge,4.453794542999621e-08
91896,1298.0,Ridge,4.453794542999621e-08
149935,1254.0,Ridge,4.453794542999621e-08
31302,1020.0,Ridge,4.453794542999621e-08
29983,4366.0,Ridge,4.453794542999621e-08
19379,1421.0,Ridge,4.453794542999621e-08
73663,718.0,Ridge,4.453794542999621e-08
58187,1830.0,Ridge,4.453794542999621e-08
59386,924.0,Ridge,4.453794542999621e-08
95922,2393.0,Ridge,4.453794542999621e-08
114621,2613.0,Ridge,4.453794542999621e-08
82066,1686.0,Ridge,4.453794542999621e-08
102259,1545.0,Ridge,4.453794542999621e-08
128914,4033.0,Ridge,4.453794542999621e-08
102646,5185.0,Ridge,4.453794542999621e-08
47915,822.0,Ridge,4.453794542999621e-08
106569,1193.0,Ridge,4.453794542999621e-08
120548,1095.0,Ridge,4.453794542999621e-08
68980,3688.0,Ridge,4.453794542999621e-08
95678,2631.0,Ridge,4.453794542999621e-08
121384,711.0,Ridge,4.453794542999621e-08
110499,2275.0,Ridge,4.453794542999621e-08
48902,898.0,Ridge,4.453794542999621e-08
85624,3302.0,Ridge,4.453794542999621e-08
26378,2456.0,Ridge,4.453794542999621e-08
152821,1396.0,Ridge,4.453794542999621e-08
18074,2611.0,Ridge,4.453794542999621e-08
28590,4641.0,Ridge,4.453794542999621e-08
152559,1703.0,Ridge,4.453794542999621e-08
150992,1536.0,Ridge,4.453794542999621e-08
143639,1132.0,Ridge,4.453794542999621e-08
385,1491.0,Ridge,4.453794542999621e-08
62417,1024.0,Ridge,4.453794542999621e-08
125188,3276.0,Ridge,4.453794542999621e-08
72468,1855.0,Ridge,4.453794542999621e-08
10351,3828.0,Ridge,4.453794542999621e-08
150043,653.0,Ridge,4.453794542999621e-08
84395,1280.0,Ridge,4.453794542999621e-08
102493,1106.0,Ridge,4.453794542999621e-08
48524,1719.0,Ridge,4.453794542999621e-08
27182,538.0,Ridge,4.453794542999621e-08
25928,2167.0,Ridge,4.453794542999621e-08
118136,1293.0,Ridge,4.453794542999621e-08
29851,1503.0,Ridge,4.453794542999621e-08
148854,739.0,Ridge,4.453794542999621e-08
126319,2042.0,Ridge,4.453794542999621e-08
40896,1437.0,Ridge,4.453794542999621e-08
145372,2440.0,Ridge,4.453794542999621e-08
91043,3679.0,Ridge,4.453794542999621e-08
14525,1923.0,Ridge,4.453794542999621e-08
19643,1824.0,Ridge,4.453794542999621e-08
157080,3325.0,Ridge,4.453794542999621e-08
120518,2011.0,Ridge,4.453794542999621e-08
155399,1171.0,Ridge,4.453794542999621e-08
92129,1982.0,Ridge,4.453794542999621e-08
83747,1916.0,Ridge,4.453794542999621e-08
25506,2146.0,Ridge,4.453794542999621e-08
37109,3402.0,Ridge,4.453794542999621e-08
90181,1330.0,Ridge,4.453794542999621e-08
125640,496.0,Ridge,4.453794542999621e-08
2474,825.0,Ridge,4.453794542999621e-08
88771,2814.0,Ridge,4.453794542999621e-08
139064,1520.0,Ridge,4.453794542999621e-08
48981,4715.0,Ridge,4.453794542999621e-08
106161,1462.0,Ridge,4.453794542999621e-08
1717,1469.0,Ridge,4.453794542999621e-08
18906,2476.0,Ridge,4.453794542999621e-08
92306,1875.0,Ridge,4.453794542999621e-08
101966,862.0,Ridge,4.453794542999621e-08
79712,2084.0,Ridge,4.453794542999621e-08
114524,2528.0,Ridge,4.453794542999621e-08
5940,1387.0,Ridge,4.453794542999621e-08
85788,1661.0,Ridge,4.453794542999621e-08
79798,1677.0,Ridge,4.453794542999621e-08
56659,1841.0,Ridge,4.453794542999621e-08
71367,1634.0,Ridge,4.453794542999621e-08
113361,2629.0,Ridge,4.453794542999621e-08
139992,998.0,Ridge,4.453794542999621e-08
71086,1803.0,Ridge,4.453794542999621e-08
74511,251.0,Ridge,4.453794542999621e-08
132552,2015.0,Ridge,4.453794542999621e-08
138266,1042.0,Ridge,4.453794542999621e-08
119006,1942.0,Ridge,4.453794542999621e-08
68670,2676.0,Ridge,4.453794542999621e-08
129028,1771.0,Ridge,4.453794542999621e-08
18430,1513.0,Ridge,4.453794542999621e-08
75491,2373.0,Ridge,4.453794542999621e-08
109312,1170.0,Ridge,4.453794542999621e-08
99866,2727.0,Ridge,4.453794542999621e-08
494,3033.0,Ridge,4.453794542999621e-08
87472,2120.0,Ridge,4.453794542999621e-08
60391,3107.0,Ridge,4.453794542999621e-08
47067,2392.0,Ridge,4.453794542999621e-08
55112,2162.0,Ridge,4.453794542999621e-08
96679,1566.0,Ridge,4.453794542999621e-08
106539,2101.0,Ridge,4.453794542999621e-08
11128,1711.0,Ridge,4.453794542999621e-08
74856,1671.0,Ridge,4.453794542999621e-08
110737,2329.0,Ridge,4.453794542999621e-08
131006,332.0,Ridge,4.453794542999621e-08
93565,2269.0,Ridge,4.453794542999621e-08
71272,1657.0,Ridge,4.453794542999621e-08
36302,1141.0,Ridge,4.453794542999621e-08
58137,1524.0,Ridge,4.453794542999621e-08
153924,2147.0,Ridge,4.453794542999621e-08
30646,2469.0,Ridge,4.453794542999621e-08
122014,4364.0,Ridge,4.453794542999621e-08
122295,1683.0,Ridge,4.453794542999621e-08
33360,1943.0,Ridge,4.453794542999621e-08
48160,1628.0,Ridge,4.453794542999621e-08
69821,536.0,Ridge,4.453794542999621e-08
68215,1839.0,Ridge,4.453794542999621e-08
101836,1568.0,Ridge,4.453794542999621e-08
139523,2128.0,Ridge,4.453794542999621e-08
75753,1572.0,Ridge,4.453794542999621e-08
120069,2268.0,Ridge,4.453794542999621e-08
134298,545.0,Ridge,4.453794542999621e-08
83150,1549.0,Ridge,4.453794542999621e-08
145674,1919.0,Ridge,4.453794542999621e-08
19975,3235.0,Ridge,4.453794542999621e-08
143926,1241.0,Ridge,4.453794542999621e-08
136890,1507.0,Ridge,4.453794542999621e-08
120016,1159.0,Ridge,4.453794542999621e-08
33984,2003.0,Ridge,4.453794542999621e-08
12105,2914.0,Ridge,4.453794542999621e-08
138924,1953.0,Ridge,4.453794542999621e-08
94145,2175.0,Ridge,4.453794542999621e-08
125335,2445.0,Ridge,4.453794542999621e-08
28084,2277.0,Ridge,4.453794542999621e-08
77301,1598.0,Ridge,4.453794542999621e-08
15400,1287.0,Ridge,4.453794542999621e-08
119566,1892.0,Ridge,4.453794542999621e-08
44259,1467.0,Ridge,4.453794542999621e-08
56973,1122.0,Ridge,4.453794542999621e-08
98577,1246.0,Ridge,4.453794542999621e-08
134128,900.0,Ridge,4.453794542999621e-08
20808,2120.0,Ridge,4.453794542999621e-08
100949,2470.0,Ridge,4.453794542999621e-08
128209,2518.0,Ridge,4.453794542999621e-08
93792,1359.0,Ridge,4.453794542999621e-08
47613,699.0,Ridge,4.453794542999621e-08
148147,844.0,Ridge,4.453794542999621e-08
43397,2622.0,Ridge,4.453794542999621e-08
84335,2798.0,Ridge,4.453794542999621e-08
83963,1974.0,Ridge,4.453794542999621e-08
98232,3102.0,Ridge,4.453794542999621e-08
681,3100.0,Ridge,4.453794542999621e-08
88591,1635.0,Ridge,4.453794542999621e-08
9747,1851.0,Ridge,4.453794542999621e-08
124598,694.0,Ridge,4.453794542999621e-08
18933,958.0,Ridge,4.453794542999621e-08
2913,2972.0,Ridge,4.453794542999621e-08
112382,1239.0,Ridge,4.453794542999621e-08
13293,693.0,Ridge,4.453794542999621e-08
136076,1924.0,Ridge,4.453794542999621e-08
96121,1393.0,Ridge,4.453794542999621e-08
86766,597.0,Ridge,4.453794542999621e-08
127580,2767.0,Ridge,4.453794542999621e-08
64742,676.0,Ridge,4.453794542999621e-08
136115,1033.0,Ridge,4.453794542999621e-08
65972,2687.0,Ridge,4.453794542999621e-08
43465,3042.0,Ridge,4.453794542999621e-08
102168,2851.0,Ridge,4.453794542999621e-08
132819,979.0,Ridge,4.453794542999621e-08
140870,1504.0,Ridge,4.453794542999621e-08
133223,1035.0,Ridge,4.453794542999621e-08
73011,2399.0,Ridge,4.453794542999621e-08
21265,1458.0,Ridge,4.453794542999621e-08
137666,1087.0,Ridge,4.453794542999621e-08
67475,1751.0,Ridge,4.453794542999621e-08
97351,2075.0,Ridge,4.453794542999621e-08
129158,1364.0,Ridge,4.453794542999621e-08
127975,1123.0,Ridge,4.453794542999621e-08
55336,3179.0,Ridge,4.453794542999621e-08
32261,2546.0,Ridge,4.453794542999621e-08
37173,1294.0,Ridge,4.453794542999621e-08
65169,1126.0,Ridge,4.453794542999621e-08
14291,1773.0,Ridge,4.453794542999621e-08
102985,3118.0,Ridge,4.453794542999621e-08
11532,1434.0,Ridge,4.453794542999621e-08
80943,689.0,Ridge,4.453794542999621e-08
87982,1087.0,Ridge,4.453794542999621e-08
24928,3989.0,Ridge,4.453794542999621e-08
123553,1140.0,Ridge,4.453794542999621e-08
119415,2092.0,Ridge,4.453794542999621e-08
154992,1298.0,Ridge,4.453794542999621e-08
81024,1937.0,Ridge,4.453794542999621e-08
139632,931.0,Ridge,4.453794542999621e-08
45367,1868.0,Ridge,4.453794542999621e-08
111999,3098.0,Ridge,4.453794542999621e-08
1443,1037.0,Ridge,4.453794542999621e-08
89633,291.0,Ridge,4.453794542999621e-08
111668,1828.0,Ridge,4.453794542999621e-08
104216,437.0,Ridge,4.453794542999621e-08
109912,1891.0,Ridge,4.453794542999621e-08
124327,1620.0,Ridge,4.453794542999621e-08
151,717.0,Ridge,4.453794542999621e-08
99807,1980.0,Ridge,4.453794542999621e-08
79195,3108.0,Ridge,4.453794542999621e-08
9308,2283.0,Ridge,4.453794542999621e-08
99435,2194.0,Ridge,4.453794542999621e-08
65711,2206.0,Ridge,4.453794542999621e-08
114346,2613.0,Ridge,4.453794542999621e-08
95268,1050.0,Ridge,4.453794542999621e-08
144706,2172.0,Ridge,4.453794542999621e-08
650,2705.0,Ridge,4.453794542999621e-08
94379,1638.0,Ridge,4.453794542999621e-08
118288,1329.0,Ridge,4.453794542999621e-08
16278,1323.0,Ridge,4.453794542999621e-08
103646,2981.0,Ridge,4.453794542999621e-08
71516,1316.0,Ridge,4.453794542999621e-08
100401,1973.0,Ridge,4.453794542999621e-08
124384,2154.0,Ridge,4.453794542999621e-08
32891,1595.0,Ridge,4.453794542999621e-08
122437,828.0,Ridge,4.453794542999621e-08
97660,1109.0,Ridge,4.453794542999621e-08
44574,2028.0,Ridge,4.453794542999621e-08
21278,1273.0,Ridge,4.453794542999621e-08
50146,2782.0,Ridge,4.453794542999621e-08
55965,2124.0,Ridge,4.453794542999621e-08
133656,3212.0,Ridge,4.453794542999621e-08
9838,1549.0,Ridge,4.453794542999621e-08
58624,1928.0,Ridge,4.453794542999621e-08
12214,1358.0,Ridge,4.453794542999621e-08
106497,739.0,Ridge,4.453794542999621e-08
53973,1412.0,Ridge,4.453794542999621e-08
23254,1567.0,Ridge,4.453794542999621e-08
154710,2210.0,Ridge,4.453794542999621e-08
106883,1855.0,Ridge,4.453794542999621e-08
144660,1047.0,Ridge,4.453794542999621e-08
47454,2848.0,Ridge,4.453794542999621e-08
57750,2658.0,Ridge,4.453794542999621e-08
89559,3257.0,Ridge,4.453794542999621e-08
126721,2754.0,Ridge,4.453794542999621e-08
95822,1249.0,Ridge,4.453794542999621e-08
118535,1622.0,Ridge,4.453794542999621e-08
9531,3165.0,Ridge,4.453794542999621e-08
68315,1182.0,Ridge,4.453794542999621e-08
138486,1288.0,Ridge,4.453794542999621e-08
96462,3204.0,Ridge,4.453794542999621e-08
87034,1469.0,Ridge,4.453794542999621e-08
116528,1555.0,Ridge,4.453794542999621e-08
92256,1830.0,Ridge,4.453794542999621e-08
132028,3026.0,Ridge,4.453794542999621e-08
51316,2173.0,Ridge,4.453794542999621e-08
47543,1836.0,Ridge,4.453794542999621e-08
79137,2943.0,Ridge,4.453794542999621e-08
37041,1116.0,Ridge,4.453794542999621e-08
94973,4033.0,Ridge,4.453794542999621e-08
39223,1013.0,Ridge,4.453794542999621e-08
82183,945.0,Ridge,4.453794542999621e-08
16180,1062.0,Ridge,4.453794542999621e-08
19582,1106.0,Ridge,4.453794542999621e-08
97055,1217.0,Ridge,4.453794542999621e-08
25766,1881.0,Ridge,4.453794542999621e-08
147140,1231.0,Ridge,4.453794542999621e-08
124448,1004.0,Ridge,4.453794542999621e-08
7168,1492.0,Ridge,4.453794542999621e-08
85035,3541.0,Ridge,4.453794542999621e-08
41681,3866.0,Ridge,4.453794542999621e-08
64308,1321.0,Ridge,4.453794542999621e-08
8862,1520.0,Ridge,4.453794542999621e-08
107852,3936.0,Ridge,4.453794542999621e-08
140659,2561.0,Ridge,4.453794542999621e-08
145276,493.0,Ridge,4.453794542999621e-08
120194,3120.0,Ridge,4.453794542999621e-08
14760,2122.0,Ridge,4.453794542999621e-08
142495,1405.0,Ridge,4.453794542999621e-08
23152,1713.0,Ridge,4.453794542999621e-08
42696,5882.0,Ridge,4.453794542999621e-08
60321,1907.0,Ridge,4.453794542999621e-08
151374,2221.0,Ridge,4.453794542999621e-08
7345,1718.0,Ridge,4.453794542999621e-08
132542,2075.0,Ridge,4.453794542999621e-08
153589,1803.0,Ridge,4.453794542999621e-08
90305,1333.0,Ridge,4.453794542999621e-08
91722,808.0,Ridge,4.453794542999621e-08
131411,2047.0,Ridge,4.453794542999621e-08
38028,1595.0,Ridge,4.453794542999621e-08
133020,2411.0,Ridge,4.453794542999621e-08
15498,1788.0,Ridge,4.453794542999621e-08
145520,2105.0,Ridge,4.453794542999621e-08
86581,1591.0,Ridge,4.453794542999621e-08
14953,2279.0,Ridge,4.453794542999621e-08
131395,1463.0,Ridge,4.453794542999621e-08
29305,1198.0,Ridge,4.453794542999621e-08
40788,1353.0,Ridge,4.453794542999621e-08
12922,4834.0,Ridge,4.453794542999621e-08
56106,1392.0,Ridge,4.453794542999621e-08
143365,2719.0,Ridge,4.453794542999621e-08
152347,1378.0,Ridge,4.453794542999621e-08
1830,2320.0,Ridge,4.453794542999621e-08
152013,3041.0,Ridge,4.453794542999621e-08
84983,744.0,Ridge,4.453794542999621e-08
104953,1665.0,Ridge,4.453794542999621e-08
42758,538.0,Ridge,4.453794542999621e-08
11839,2047.0,Ridge,4.453794542999621e-08
70739,2625.0,Ridge,4.453794542999621e-08
47534,3438.0,Ridge,4.453794542999621e-08
40405,1653.0,Ridge,4.453794542999621e-08
151796,1813.0,Ridge,4.453794542999621e-08
142753,1608.0,Ridge,4.453794542999621e-08
54548,2775.0,Ridge,4.453794542999621e-08
87783,1896.0,Ridge,4.453794542999621e-08
40793,2931.0,Ridge,4.453794542999621e-08
63687,1770.0,Ridge,4.453794542999621e-08
135309,2470.0,Ridge,4.453794542999621e-08
1866,2172.0,Ridge,4.453794542999621e-08
99568,1796.0,Ridge,4.453794542999621e-08
114558,2483.0,Ridge,4.453794542999621e-08
148169,1210.0,Ridge,4.453794542999621e-08
61755,1826.0,Ridge,4.453794542999621e-08
100250,1172.0,Ridge,4.453794542999621e-08
81010,2013.0,Ridge,4.453794542999621e-08
88673,865.0,Ridge,4.453794542999621e-08
115367,1845.0,Ridge,4.453794542999621e-08
23656,3178.0,Ridge,4.453794542999621e-08
81494,1100.0,Ridge,4.453794542999621e-08
62218,673.0,Ridge,4.453794542999621e-08
69216,1636.0,Ridge,4.453794542999621e-08
35926,2788.0,Ridge,4.453794542999621e-08
126402,1453.0,Ridge,4.453794542999621e-08
4296,1315.0,Ridge,4.453794542999621e-08
9814,2069.0,Ridge,4.453794542999621e-08
87467,2104.0,Ridge,4.453794542999621e-08
105350,3310.0,Ridge,4.453794542999621e-08
31178,1374.0,Ridge,4.453794542999621e-08
30545,1693.0,Ridge,4.453794542999621e-08
61696,2075.0,Ridge,4.453794542999621e-08
3662,1610.0,Ridge,4.453794542999621e-08
41969,2328.0,Ridge,4.453794542999621e-08
147345,1046.0,Ridge,4.453794542999621e-08
32820,2878.0,Ridge,4.453794542999621e-08
165,1933.0,Ridge,4.453794542999621e-08
13623,742.0,Ridge,4.453794542999621e-08
111576,1472.0,Ridge,4.453794542999621e-08
